Summary, Reporter, Issue Type, Priority, Description, Comment, Status, Attachment
"Product Browsing Scenario 4 Impossible Proceed to Checkout When Buying Item", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to Checkout", Open, 
"Item Purchase Scenario 1 Impossible Proceed to Payment", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to Payment", Open, 
"Item Purchase Scenario 2 Impossible to Pay with PayPal", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to Payment", Open, 
"Item Purchase Scenario 3 Impossible to Pay with Google Pay", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to Payment", Open, 
"Item Purchase Scenario 4 Impossible to pay with Apple Pay", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to Payment", Open, 
"Test Drive Scenario 1 Impossible to Read ToS", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to sign up application", Open, 
"Test Drive Scenario 2 Impossible to Enter User Information", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to sign up application", Open, 
"Test Drive Scenario 3 Impossible to Schedule Test Drive", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to sign up application", Open, 
"Scooter Service Scenario 1 Impossible to Select Required Service", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to sign up application", Open, 
"Scooter Service Scenario 2 Impossible to Enter User Information", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to sign up application", Open, 
"Scooter Service Scenario 3 Impossible to Schedule Service Appointment", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to sign up application", Open, 
"Electric Scooter Rental Scenario 1 Impossible to Read ToS", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to sign up application", Open, 
"Electric Scooter Rental Scenario 2 Impossible to Enter User Information", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to sign up application", Open, 
"Electric Scooter Rental Scenario 3 Impossible to Schedule Scooter Pick-Up", andriidereviannyi@gmail.com, bug, 5, "Action Blocked", "Cannot proceed to sign up application", Open, 
